Gmt time,Ask,Bid,AskVolume,BidVolume
07.04.2023 07:27:03.915,13049.741000000002,13046.317,0.0004,0.0004
07.04.2023 07:27:03.966,13049.741000000002,13046.259,0.0004,0.0004
07.04.2023 07:27:09.465,13049.691,13046.257,0.0004,0.0004
07.04.2023 07:27:09.515,13049.661000000002,13046.149,0.0004,0.0004
07.04.2023 07:27:10.570,13049.501000000002,13046.157,0.0004,0.0004
07.04.2023 07:27:10.621,13049.581000000002,13046.059,0.0004,0.0004
07.04.2023 07:27:14.482,13049.381000000001,13046.087,0.0004,0.0004
07.04.2023 07:27:14.532,13049.371000000001,13045.839,0.0004,0.0004
07.04.2023 07:27:15.119,13049.293000000001,13046.298999999999,0.0004,0.0004
07.04.2023 07:27:15.170,13049.521,13046.069,0.0004,0.0004
07.04.2023 07:27:18.167,13049.301000000001,13046.017,0.0004,0.0004
07.04.2023 07:27:18.217,13049.341,13045.849,0.0004,0.0004
07.04.2023 07:27:18.328,13049.383000000002,13046.298999999999,0.0004,0.0004
07.04.2023 07:27:18.378,13049.311000000002,13046.048999999999,0.0004,0.0004
07.04.2023 07:27:20.460,13049.281,13046.037,0.0004,0.0004
07.04.2023 07:27:20.510,13049.291000000001,13045.819,0.0004,0.0004
07.04.2023 07:27:21.244,13049.261,13045.827,0.0004,0.0004
07.04.2023 07:27:21.294,13049.201000000001,13045.798999999999,0.0004,0.0004
07.04.2023 07:27:21.846,13048.601,13045.179,0.0004,0.0012
07.04.2023 07:27:21.896,13048.631000000001,13045.128999999999,0.0004,0.0004
07.04.2023 07:27:22.985,13048.251000000002,13044.708999999999,0.0004,0.0012
07.04.2023 07:27:23.035,13048.231000000002,13044.798999999999,0.0004,0.0004
07.04.2023 07:27:23.499,13048.193000000001,13044.829,0.0004,0.0004
07.04.2023 07:27:23.549,13048.301000000001,13044.829,0.0004,0.0004
07.04.2023 07:27:24.351,13048.323,13045.079,0.0004,0.0004
07.04.2023 07:27:24.402,13048.481000000002,13045.079,0.0004,0.0004
07.04.2023 07:27:24.509,13048.211000000001,13044.788999999999,0.0004,0.0012
07.04.2023 07:27:24.560,13048.271,13044.788999999999,0.0004,0.0004
07.04.2023 07:27:24.828,13048.121000000001,13044.757,0.0004,0.0004
07.04.2023 07:27:24.879,13048.131000000001,13044.649,0.0004,0.0004
07.04.2023 07:27:26.299,13048.163,13044.729,0.0004,0.0004
07.04.2023 07:27:26.349,13048.281,13044.798999999999,0.0004,0.0004
07.04.2023 07:27:27.956,13048.101,13044.747,0.0004,0.0004
07.04.2023 07:27:28.006,13048.111,13044.628999999999,0.0004,0.0004
07.04.2023 07:27:28.117,13048.011,13044.677,0.0004,0.0004
07.04.2023 07:27:28.167,13048.001000000002,13044.548999999999,0.0004,0.0004
07.04.2023 07:27:32.133,13047.813,13044.708999999999,0.0004,0.0004
07.04.2023 07:27:32.183,13048.181,13044.618999999999,0.0004,0.0004
07.04.2023 07:27:32.292,13048.173,13044.778999999999,0.0004,0.0004
07.04.2023 07:27:32.343,13048.231000000002,13044.739,0.0004,0.0004
07.04.2023 07:27:37.541,13048.273000000001,13045.278999999999,0.0004,0.0004
07.04.2023 07:27:37.591,13048.751000000002,13045.249,0.0004,0.0004
07.04.2023 07:27:43.355,13048.211000000001,13044.708999999999,0.0004,0.0012
07.04.2023 07:27:43.406,13048.291000000001,13044.729,0.0004,0.0004
07.04.2023 07:27:47.479,13048.001000000002,13044.767,0.0004,0.0004
07.04.2023 07:27:47.530,13048.071000000002,13044.569,0.0004,0.0004
07.04.2023 07:27:49.225,13047.601,13044.567,0.0004,0.0004
07.04.2023 07:27:49.276,13047.601,13044.409,0.0004,0.0004
07.04.2023 07:27:49.385,13047.151000000002,13043.639,0.0004,0.0012
07.04.2023 07:27:49.435,13047.121000000001,13043.659,0.0004,0.0004
07.04.2023 07:27:50.407,13047.183,13043.708999999999,0.0004,0.0004
07.04.2023 07:27:50.458,13047.271,13043.749,0.0004,0.0004
07.04.2023 07:27:51.278,13047.101,13043.787,0.0004,0.0004
07.04.2023 07:27:51.328,13047.191,13043.669,0.0004,0.0004
07.04.2023 07:27:51.435,13046.861,13043.339,0.0004,0.0012
07.04.2023 07:27:51.485,13046.841,13043.329,0.0004,0.0004
07.04.2023 07:27:52.245,13046.381000000001,13042.849,0.0004,0.0012
07.04.2023 07:27:52.296,13046.291000000001,13042.819,0.0004,0.0004
07.04.2023 07:27:52.403,13046.201000000001,13042.827,0.0004,0.0004
07.04.2023 07:27:52.454,13046.221000000001,13042.739,0.0004,0.0004
07.04.2023 07:27:52.725,13045.911000000002,13042.787,0.0004,0.0004
07.04.2023 07:27:52.775,13046.121000000001,13042.708999999999,0.0004,0.0004
07.04.2023 07:27:53.470,13046.153,13042.778999999999,0.0004,0.0004
07.04.2023 07:27:53.520,13046.251000000002,13042.719,0.0004,0.0004
07.04.2023 07:27:55.059,13046.283000000001,13043.079,0.0004,0.0004
